cluster,Revenue_Mean,Revenue_Sum,Customer_Count,Avg_Rating,Qty_Mean,Qty_Sum,Price_Mean,CLV_Score
0,8883534.95,14426860758,1624,4.57,30.83,50061,417744.33,1251629.0
1,274924.56,936667966,3407,0.04,1.18,4006,271350.48,13.0
2,246500930.77,3204512100,13,4.42,1363.0,17719,166953.85,1485034997.0
3,3313333.33,119280000,36,0.35,0.31,11,12202222.22,359.0
4,111972300.04,9069756303,81,4.5,430.79,34894,246608.22,217064462.0
5,3303219.7,654037500,198,0.31,1.01,200,3035699.37,1034.0
6,294189000.0,588378000,2,4.6,3198.0,6396,87500.0,4327755541.0
